Date,Open,High,Low,Close,Volume
2024-01-01,1540.00,1555.00,1535.00,1545.20,2450000
2024-01-02,1548.00,1562.00,1538.00,1558.40,2876000
2024-01-03,1555.00,1560.00,1528.00,1532.10,3120000
2024-01-04,1530.00,1542.00,1515.00,1520.50,3450000
2024-01-05,1525.00,1548.00,1518.00,1542.00,2980000
2024-01-08,1545.00,1570.00,1540.00,1565.30,3210000
2024-01-09,1570.00,1585.00,1555.00,1560.00,2870000
2024-01-10,1562.00,1575.00,1548.00,1568.20,2650000
2024-01-11,1570.00,1595.00,1562.00,1590.00,4320000
2024-01-12,1610.00,1655.00,1605.00,1648.50,9870000
2024-01-15,1655.00,1680.00,1642.00,1672.00,6540000
2024-01-16,1670.00,1685.00,1640.00,1650.40,4320000
2024-01-17,1640.00,1655.00,1612.00,1622.00,5430000
2024-01-18,1618.00,1635.00,1600.00,1628.50,3870000
2024-01-19,1632.00,1660.00,1625.00,1652.00,4120000
2024-01-22,1655.00,1675.00,1645.00,1668.00,3650000
2024-01-23,1665.00,1672.00,1635.00,1642.10,3210000
2024-01-24,1640.00,1655.00,1620.00,1630.00,2980000
2024-01-25,1628.00,1642.00,1605.00,1612.50,3870000
2024-01-29,1615.00,1638.00,1608.00,1632.00,2870000
2024-01-30,1635.00,1650.00,1622.00,1645.00,3120000
2024-01-31,1648.00,1665.00,1635.00,1658.20,3450000
2024-02-01,1660.00,1678.00,1645.00,1670.00,3210000
2024-02-02,1675.00,1705.00,1668.00,1698.00,4870000
2024-02-05,1700.00,1725.00,1690.00,1715.00,5120000
2024-02-06,1720.00,1738.00,1705.00,1728.50,4320000
2024-02-07,1730.00,1745.00,1712.00,1739.00,3870000
2024-02-08,1742.00,1760.00,1725.00,1752.00,4120000
2024-02-09,1755.00,1772.00,1738.00,1764.00,3650000
2024-02-12,1760.00,1775.00,1740.00,1748.00,3120000
2024-02-13,1745.00,1762.00,1730.00,1742.50,2980000
2024-02-14,1738.00,1750.00,1715.00,1725.00,3450000
2024-02-15,1728.00,1745.00,1718.00,1738.00,2870000
2024-02-16,1742.00,1765.00,1735.00,1758.00,3650000
2024-02-19,1760.00,1780.00,1750.00,1772.50,3870000
2024-02-20,1775.00,1790.00,1755.00,1765.00,3450000
2024-02-21,1760.00,1775.00,1738.00,1748.00,3120000
2024-02-22,1745.00,1768.00,1740.00,1762.00,2980000
2024-02-23,1765.00,1785.00,1758.00,1778.00,3650000
2024-02-26,1775.00,1792.00,1760.00,1768.00,2870000
2024-02-27,1765.00,1780.00,1752.00,1775.00,2650000
2024-02-28,1778.00,1795.00,1765.00,1788.00,3210000
2024-02-29,1790.00,1812.00,1775.00,1805.00,4320000
2024-03-01,1810.00,1825.00,1792.00,1818.00,3870000
2024-03-04,1820.00,1840.00,1805.00,1832.50,4120000
2024-03-05,1835.00,1845.00,1812.00,1822.00,3450000
2024-03-06,1818.00,1832.00,1798.00,1825.00,3120000
2024-03-07,1828.00,1850.00,1815.00,1845.00,4560000
2024-03-11,1848.00,1865.00,1828.00,1858.00,4120000
2024-03-12,1860.00,1875.00,1835.00,1845.00,3650000
2024-03-13,1840.00,1852.00,1790.00,1802.00,4870000
2024-03-14,1805.00,1828.00,1785.00,1820.00,3650000
2024-03-15,1822.00,1855.00,1812.00,1848.00,4320000
2024-03-18,1845.00,1858.00,1795.00,1808.00,5120000
2024-03-19,1798.00,1815.00,1680.00,1702.00,11200000
2024-03-20,1705.00,1730.00,1685.00,1718.00,6540000
2024-03-21,1722.00,1748.00,1710.00,1740.00,4320000
2024-03-22,1738.00,1752.00,1720.00,1730.00,3650000
2024-03-26,1725.00,1740.00,1712.00,1725.50,3120000
2024-03-27,1728.00,1745.00,1718.00,1738.00,3450000
2024-03-28,1740.00,1762.00,1728.00,1755.00,4120000
2024-04-01,1760.00,1785.00,1748.00,1778.00,3870000
2024-04-02,1775.00,1788.00,1755.00,1768.00,3120000
2024-04-03,1765.00,1778.00,1740.00,1750.00,3450000
2024-04-04,1752.00,1768.00,1725.00,1735.00,4120000
2024-04-05,1730.00,1752.00,1718.00,1728.00,3650000
2024-04-08,1730.00,1755.00,1720.00,1748.00,3120000
2024-04-09,1750.00,1768.00,1735.00,1760.00,3210000
2024-04-10,1762.00,1778.00,1745.00,1770.00,3450000
2024-04-12,1765.00,1775.00,1720.00,1732.00,4320000
2024-04-15,1725.00,1745.00,1710.00,1738.00,3870000
2024-04-16,1735.00,1758.00,1722.00,1750.00,3120000
2024-04-18,1752.00,1775.00,1738.00,1765.00,3650000
2024-04-19,1748.00,1770.00,1730.00,1760.00,3870000
2024-04-22,1762.00,1785.00,1750.00,1778.00,3450000
2024-04-23,1780.00,1798.00,1765.00,1790.00,3120000
2024-04-24,1792.00,1810.00,1775.00,1782.00,3210000
2024-04-25,1778.00,1792.00,1760.00,1772.00,3450000
2024-04-26,1775.00,1795.00,1762.00,1788.00,2870000
2024-04-29,1790.00,1815.00,1780.00,1808.00,3210000
2024-04-30,1805.00,1825.00,1788.00,1798.00,3650000
2024-05-02,1795.00,1812.00,1775.00,1785.00,3120000
2024-05-03,1780.00,1795.00,1750.00,1762.00,3870000
2024-05-06,1765.00,1788.00,1752.00,1780.00,3210000
2024-05-07,1778.00,1792.00,1748.00,1758.00,3650000
2024-05-08,1752.00,1770.00,1735.00,1745.00,3870000
2024-05-09,1740.00,1758.00,1720.00,1730.00,4320000
2024-05-10,1732.00,1752.00,1715.00,1748.00,3450000
2024-05-13,1750.00,1775.00,1738.00,1768.00,3120000
2024-05-14,1770.00,1792.00,1755.00,1785.00,2980000
2024-05-15,1788.00,1810.00,1772.00,1802.00,3450000
2024-05-16,1805.00,1828.00,1790.00,1820.00,3870000
2024-05-17,1822.00,1845.00,1808.00,1838.00,3210000
2024-05-21,1840.00,1855.00,1818.00,1830.00,2980000
2024-05-22,1828.00,1848.00,1812.00,1840.00,3450000
2024-05-23,1842.00,1865.00,1828.00,1855.00,3870000
2024-05-24,1858.00,1875.00,1838.00,1850.00,3210000
2024-05-27,1852.00,1870.00,1835.00,1862.00,2870000
2024-05-28,1865.00,1882.00,1845.00,1875.00,3120000
2024-05-29,1872.00,1890.00,1850.00,1860.00,2980000
2024-05-30,1855.00,1875.00,1832.00,1842.00,3870000
2024-05-31,1845.00,1865.00,1810.00,1822.00,4870000
2024-06-03,1830.00,1885.00,1820.00,1872.00,5430000
2024-06-04,1850.00,1860.00,1675.00,1710.00,14500000
2024-06-05,1720.00,1790.00,1705.00,1778.00,8760000
2024-06-06,1785.00,1830.00,1768.00,1818.00,5870000
2024-06-07,1822.00,1860.00,1805.00,1852.00,4980000
