Date,Open,High,Low,Close,Volume
2024-01-01,2585.00,2610.00,2575.00,2598.50,4560000
2024-01-02,2602.00,2625.00,2588.00,2615.00,5230000
2024-01-03,2610.00,2618.00,2570.00,2582.40,4870000
2024-01-04,2580.00,2595.00,2562.00,2570.00,4320000
2024-01-05,2575.00,2605.00,2568.00,2598.00,4980000
2024-01-08,2600.00,2635.00,2592.00,2628.50,5670000
2024-01-09,2632.00,2650.00,2615.00,2622.00,4870000
2024-01-10,2625.00,2648.00,2610.00,2640.20,4320000
2024-01-11,2645.00,2680.00,2635.00,2672.00,6540000
2024-01-12,2678.00,2715.00,2665.00,2705.50,7890000
2024-01-15,2710.00,2745.00,2698.00,2738.00,6540000
2024-01-16,2740.00,2760.00,2712.00,2725.40,5430000
2024-01-17,2715.00,2735.00,2670.00,2685.00,6870000
2024-01-18,2680.00,2705.00,2662.00,2695.00,5120000
2024-01-19,2700.00,2740.00,2692.00,2732.00,6120000
2024-01-22,2735.00,2765.00,2725.00,2755.00,5870000
2024-01-23,2758.00,2772.00,2715.00,2728.50,4980000
2024-01-24,2722.00,2745.00,2705.00,2718.00,4650000
2024-01-25,2712.00,2730.00,2682.00,2695.00,5430000
2024-01-29,2700.00,2735.00,2690.00,2725.00,4870000
2024-01-30,2728.00,2752.00,2715.00,2742.00,4320000
2024-01-31,2745.00,2770.00,2730.00,2762.50,5670000
2024-02-01,2765.00,2790.00,2750.00,2780.00,5120000
2024-02-02,2785.00,2825.00,2772.00,2818.00,7650000
2024-02-05,2820.00,2855.00,2808.00,2845.00,6870000
2024-02-06,2850.00,2878.00,2835.00,2865.00,5980000
2024-02-07,2868.00,2890.00,2848.00,2882.00,5430000
2024-02-08,2885.00,2910.00,2865.00,2902.00,6120000
2024-02-09,2905.00,2930.00,2885.00,2918.50,5870000
2024-02-12,2920.00,2945.00,2895.00,2905.00,4870000
2024-02-13,2900.00,2925.00,2878.00,2892.00,4320000
2024-02-14,2888.00,2910.00,2865.00,2878.00,4980000
2024-02-15,2880.00,2905.00,2870.00,2895.00,4320000
2024-02-16,2900.00,2935.00,2890.00,2925.00,5430000
2024-02-19,2930.00,2960.00,2918.00,2948.00,6120000
2024-02-20,2950.00,2975.00,2925.00,2938.00,5430000
2024-02-21,2932.00,2955.00,2908.00,2920.00,4870000
2024-02-22,2915.00,2948.00,2905.00,2938.00,4650000
2024-02-23,2942.00,2970.00,2930.00,2962.00,5430000
2024-02-26,2965.00,2985.00,2942.00,2952.00,4320000
2024-02-27,2950.00,2972.00,2935.00,2965.00,3980000
2024-02-28,2968.00,2995.00,2950.00,2985.00,4870000
2024-02-29,2990.00,3025.00,2975.00,3012.00,7650000
2024-03-01,3015.00,3045.00,2998.00,3035.00,6540000
2024-03-04,3040.00,3070.00,3022.00,3058.00,6980000
2024-03-05,3060.00,3082.00,3035.00,3045.00,5430000
2024-03-06,3040.00,3065.00,3018.00,3050.00,4980000
2024-03-07,3055.00,3090.00,3040.00,3078.00,6540000
2024-03-11,3082.00,3110.00,3065.00,3098.00,6120000
2024-03-12,3100.00,3125.00,3075.00,3088.00,5430000
2024-03-13,3080.00,3100.00,3020.00,3035.00,7650000
2024-03-14,3030.00,3065.00,3010.00,3052.00,5870000
2024-03-15,3055.00,3095.00,3042.00,3085.00,6540000
2024-03-18,3088.00,3105.00,3025.00,3040.00,7890000
2024-03-19,3030.00,3055.00,2880.00,2910.00,16500000
2024-03-20,2920.00,2960.00,2895.00,2945.00,9870000
2024-03-21,2950.00,2985.00,2930.00,2972.00,6540000
2024-03-22,2970.00,2992.00,2945.00,2958.00,5430000
2024-03-26,2952.00,2975.00,2932.00,2950.00,4870000
2024-03-27,2955.00,2980.00,2940.00,2968.00,5120000
2024-03-28,2970.00,3005.00,2955.00,2995.00,6120000
2024-04-01,3000.00,3035.00,2982.00,3022.00,5870000
2024-04-02,3025.00,3045.00,2998.00,3010.00,4870000
2024-04-03,3005.00,3025.00,2975.00,2990.00,5120000
2024-04-04,2985.00,3010.00,2952.00,2968.00,6120000
2024-04-05,2960.00,2990.00,2942.00,2955.00,5430000
2024-04-08,2958.00,2992.00,2945.00,2980.00,4870000
2024-04-09,2982.00,3010.00,2965.00,3000.00,4980000
2024-04-10,3005.00,3030.00,2985.00,3018.00,5230000
2024-04-12,3010.00,3025.00,2950.00,2968.00,6540000
2024-04-15,2955.00,2985.00,2935.00,2975.00,5870000
2024-04-16,2970.00,3000.00,2952.00,2990.00,4870000
2024-04-18,2992.00,3025.00,2972.00,3010.00,5430000
2024-04-19,2990.00,3018.00,2960.00,3002.00,5870000
2024-04-22,3005.00,3040.00,2990.00,3030.00,5120000
2024-04-23,3032.00,3060.00,3015.00,3048.00,4870000
2024-04-24,3050.00,3075.00,3030.00,3040.00,4980000
2024-04-25,3035.00,3055.00,3008.00,3025.00,5230000
2024-04-26,3028.00,3058.00,3015.00,3048.00,4320000
2024-04-29,3050.00,3085.00,3038.00,3072.00,4870000
2024-04-30,3075.00,3100.00,3052.00,3062.00,5430000
2024-05-02,3060.00,3082.00,3035.00,3050.00,4870000
2024-05-03,3045.00,3065.00,3005.00,3018.00,5870000
2024-05-06,3020.00,3055.00,3008.00,3042.00,4980000
2024-05-07,3038.00,3060.00,2998.00,3015.00,5430000
2024-05-08,3008.00,3032.00,2985.00,2998.00,5870000
2024-05-09,2992.00,3018.00,2965.00,2980.00,6540000
2024-05-10,2980.00,3010.00,2960.00,3002.00,5120000
2024-05-13,3005.00,3040.00,2990.00,3032.00,4870000
2024-05-14,3035.00,3065.00,3015.00,3052.00,4320000
2024-05-15,3055.00,3085.00,3035.00,3070.00,5120000
2024-05-16,3075.00,3110.00,3055.00,3095.00,5870000
2024-05-17,3098.00,3130.00,3080.00,3118.00,4980000
2024-05-21,3120.00,3145.00,3095.00,3108.00,4320000
2024-05-22,3105.00,3132.00,3088.00,3122.00,4980000
2024-05-23,3125.00,3155.00,3110.00,3142.00,5870000
2024-05-24,3145.00,3170.00,3125.00,3138.00,4870000
2024-05-27,3135.00,3160.00,3118.00,3152.00,4320000
2024-05-28,3155.00,3180.00,3135.00,3170.00,4870000
2024-05-29,3168.00,3192.00,3140.00,3155.00,4650000
2024-05-30,3148.00,3175.00,3115.00,3130.00,5870000
2024-05-31,3130.00,3160.00,3085.00,3105.00,7650000
2024-06-03,3115.00,3195.00,3100.00,3180.00,8900000
2024-06-04,3160.00,3175.00,2780.00,2850.00,21000000
2024-06-05,2870.00,2990.00,2840.00,2965.00,12500000
2024-06-06,2980.00,3045.00,2955.00,3030.00,8760000
2024-06-07,3035.00,3090.00,3015.00,3075.00,7650000
