Date,Open,High,Low,Close,Volume
2024-01-01,3795.00,3825.50,3780.00,3811.20,1254300
2024-01-02,3815.00,3840.00,3790.00,3828.50,1432100
2024-01-03,3820.00,3835.00,3775.00,3790.10,1654200
2024-01-04,3795.00,3810.00,3750.00,3765.40,1876500
2024-01-05,3770.00,3805.00,3760.00,3798.80,1543200
2024-01-08,3800.00,3845.00,3792.00,3835.60,1654300
2024-01-09,3840.00,3860.00,3815.00,3822.30,1432000
2024-01-10,3825.00,3850.00,3805.00,3842.10,1321400
2024-01-11,3850.00,3890.00,3840.00,3880.50,2104500
2024-01-12,3890.00,3920.00,3865.00,3905.00,2456000
2024-01-15,3910.00,3945.00,3895.00,3938.20,1987000
2024-01-16,3940.00,3955.00,3890.00,3902.40,1765400
2024-01-17,3880.00,3910.00,3840.00,3860.00,2345000
2024-01-18,3850.00,3880.00,3830.00,3872.10,1876000
2024-01-19,3880.00,3925.00,3870.00,3915.60,2098000
2024-01-22,3920.00,3960.00,3910.00,3948.30,1987500
2024-01-23,3940.00,3950.00,3885.00,3895.50,1876400
2024-01-24,3890.00,3915.00,3860.00,3875.00,1654300
2024-01-25,3870.00,3895.00,3835.00,3845.20,1987000
2024-01-29,3850.00,3880.00,3840.00,3868.90,1432000
2024-01-30,3870.00,3900.00,3855.00,3885.40,1543200
2024-01-31,3890.00,3915.00,3865.00,3902.10,1765000
2024-02-01,3910.00,3935.00,3890.00,3925.00,1654000
2024-02-02,3930.00,3970.00,3920.00,3962.50,2109800
2024-02-05,3970.00,4005.00,3955.00,3990.00,2450000
2024-02-06,4000.00,4030.00,3985.00,4015.80,2234000
2024-02-07,4020.00,4045.00,3990.00,4032.10,1987000
2024-02-08,4040.00,4065.00,4010.00,4055.00,2123000
2024-02-09,4060.00,4085.00,4030.00,4072.40,1876500
2024-02-12,4070.00,4090.00,4040.00,4050.20,1654300
2024-02-13,4045.00,4065.00,4020.00,4038.50,1543200
2024-02-14,4030.00,4050.00,3995.00,4010.00,1765400
2024-02-15,4015.00,4040.00,4000.00,4028.90,1432000
2024-02-16,4035.00,4070.00,4025.00,4060.00,1876500
2024-02-19,4065.00,4095.00,4050.00,4082.30,1987600
2024-02-20,4085.00,4110.00,4060.00,4075.00,1765400
2024-02-21,4070.00,4090.00,4035.00,4048.20,1654300
2024-02-22,4050.00,4080.00,4040.00,4070.50,1543200
2024-02-23,4075.00,4105.00,4065.00,4095.00,1876500
2024-02-26,4090.00,4115.00,4070.00,4080.40,1432000
2024-02-27,4080.00,4100.00,4060.00,4092.10,1321000
2024-02-28,4095.00,4120.00,4075.00,4110.00,1654300
2024-02-29,4110.00,4145.00,4090.00,4130.50,2109800
2024-03-01,4135.00,4160.00,4115.00,4148.20,1876500
2024-03-04,4150.00,4185.00,4130.00,4170.00,2234500
2024-03-05,4170.00,4190.00,4140.00,4155.40,1765400
2024-03-06,4150.00,4175.00,4125.00,4162.10,1654300
2024-03-07,4165.00,4200.00,4150.00,4192.50,2450000
2024-03-11,4195.00,4225.00,4170.00,4210.00,2345600
2024-03-12,4210.00,4240.00,4185.00,4198.20,1987600
2024-03-13,4190.00,4210.00,4130.00,4145.00,2654300
2024-03-14,4150.00,4180.00,4120.00,4168.40,1876500
2024-03-15,4170.00,4215.00,4160.00,4205.00,2109800
2024-03-18,4200.00,4220.00,4140.00,4160.50,2876500
2024-03-19,4140.00,4165.00,3960.00,3975.00,5432100
2024-03-20,3980.00,4010.00,3950.00,3990.20,3456700
2024-03-21,4000.00,4035.00,3980.00,4020.00,2345600
2024-03-22,4015.00,4040.00,3990.00,4005.40,1987600
2024-03-26,4000.00,4025.00,3980.00,3995.10,1876500
2024-03-27,4000.00,4030.00,3985.00,4012.50,1765400
2024-03-28,4020.00,4050.00,4000.00,4040.00,2109800
2024-04-01,4050.00,4085.00,4035.00,4072.10,1654300
2024-04-02,4070.00,4090.00,4045.00,4060.00,1543200
2024-04-03,4055.00,4075.00,4020.00,4035.80,1876500
2024-04-04,4040.00,4065.00,3990.00,4002.50,2345600
2024-04-05,3990.00,4020.00,3970.00,3985.00,2109800
2024-04-08,3990.00,4025.00,3975.00,4010.20,1654300
2024-04-09,4020.00,4045.00,3995.00,4030.00,1765400
2024-04-10,4035.00,4060.00,4010.00,4048.50,1876500
2024-04-12,4040.00,4055.00,3980.00,3995.00,2456700
2024-04-15,3980.00,4015.00,3960.00,4005.10,2109800
2024-04-16,4000.00,4030.00,3985.00,4018.40,1654300
2024-04-18,4020.00,4050.00,3995.00,4032.00,1876500
2024-04-19,4010.00,4045.00,3980.00,4025.50,2109800
2024-04-22,4030.00,4065.00,4015.00,4052.10,1765400
2024-04-23,4055.00,4080.00,4035.00,4068.00,1543200
2024-04-24,4070.00,4095.00,4040.00,4055.20,1654300
2024-04-25,4050.00,4070.00,4025.00,4042.00,1876500
2024-04-26,4045.00,4075.00,4030.00,4062.50,1432100
2024-04-29,4070.00,4100.00,4055.00,4088.00,1654300
2024-04-30,4085.00,4115.00,4060.00,4072.50,1876500
2024-05-02,4070.00,4095.00,4035.00,4050.00,1654300
2024-05-03,4045.00,4065.00,4000.00,4012.80,2109800
2024-05-06,4020.00,4050.00,3990.00,4035.00,1765400
2024-05-07,4030.00,4055.00,3980.00,3995.20,1987600
2024-05-08,3990.00,4015.00,3960.00,3978.00,2109800
2024-05-09,3975.00,4000.00,3940.00,3952.50,2456700
2024-05-10,3960.00,3990.00,3935.00,3980.00,1876500
2024-05-13,3985.00,4020.00,3970.00,4010.50,1654300
2024-05-14,4015.00,4045.00,3995.00,4032.00,1543200
2024-05-15,4035.00,4065.00,4015.00,4050.00,1765400
2024-05-16,4055.00,4090.00,4040.00,4078.20,1987600
2024-05-17,4080.00,4110.00,4060.00,4095.00,1654300
2024-05-21,4100.00,4125.00,4075.00,4088.50,1543200
2024-05-22,4085.00,4115.00,4065.00,4102.00,1765400
2024-05-23,4105.00,4140.00,4090.00,4125.00,1987600
2024-05-24,4130.00,4155.00,4105.00,4118.20,1654300
2024-05-27,4120.00,4145.00,4095.00,4132.00,1432100
2024-05-28,4135.00,4160.00,4110.00,4145.50,1654300
2024-05-29,4140.00,4165.00,4115.00,4128.00,1543200
2024-05-30,4125.00,4150.00,4090.00,4105.20,2109800
2024-05-31,4110.00,4135.00,4060.00,4072.00,2654300
2024-06-03,4120.00,4190.00,4100.00,4165.00,3456700
2024-06-04,4140.00,4150.00,3800.00,3840.00,7654300
2024-06-05,3850.00,3980.00,3830.00,3960.00,4567800
2024-06-06,3970.00,4040.00,3950.00,4025.00,3210900
2024-06-07,4030.00,4090.00,4010.00,4075.00,2876500
